professed	3
chary	1
purifies	1
incident	3
haberdasher	4
confesseth	1
serious	23
garboils	2
brink	2
heavings-	1
flibbertigibbet	2
youthful	31
sinister	6
comply	3
ebb	15
breaks	29
forgotten	15
water-walled	1
precious	75
caithness	6
leer	5
thick-lipp'd	1
inkhorn	3
compliment	11
ascension	1
unlettered	3
hourly	22
'scaped	4
[aside]	276
tripe	1
respecting	4
uncropped	1
alarums	23
marchioness	4
gamester	7
friendless	1
cadent	1
accosted	1
lover	52
centurion	6
plentiful	4
malignant	7
pasture	11
speaker	9
dapples	1
terrible	27
lion	91
up-swarm'd	1
stabs]	1
drudges	1
dupp'd	1
unfelt	3
rate	28
flourish]	2
harsh-resounding	1
pepper	3
inevitable	4
perceives	4
jointing	1
mole	9
45	1
'john	1
lights	27
spokes	3
rage	121
deckt	1
poli	1
ferret	3
knack	1
sentenc'd	5
snow	34
desolate	7
purchasing	3
dardan	2
lion-mettled	1
germans	4
guardage	1
laughing	14
ptolemy	3
herod's	2
shuttle	1
mew	5
michael	27
seek'st	6
buckle	7
cnemies	1
camest	2
beheld	26
est	17
looks	212
discomfit	1
pigeon-egg	1
adders	4
quitted	1
ranking	1
daff't	1
doct	8
lictors	3
encouraged)	1
champain	1
gory	3
taunted	1
shearman	1
buriest	1
half-blooded	1
easiness	3
wrapp'd	6
implored	1
sense-	3
dear-lov'd	1
clarence'	6
sir-	20
bandy	7
new-crept	1
litter	7
scribbled	1
coney	1
depositaries	1
blurs	1
unquiet	7
ditch	7
scare	4
gossiplike	1
dumain]	2
haeres	1
droit	1
[clarence	1
virtue's	10
subscribes	2
deprav'd	1
chain'd	3
muddy-mettled	1
retainers	3
ballad-maker's	1
exploit	16
swaggering	6
sheweth	1
darlings	1
attendant]	1
desp'rate	10
lartius	41
sorrows	41
interchained	1
sealing-day	1
incomprehensible	1
barne	2
'jump	1
wiser	15
choplogic	1
tarquin	6
roguish	1
molestation	1
insufficiency	2
prospero's	4
remnants	3
enmity's	1
pioned	1
knighted	5
act_3|sc_11	1
rouse	29
affront	4
high-lone	1
grafted	5
imprison'd	9
seeming-virtuous	1
(a	3
lattice	3
craven	4
quietus	2
'cuckoo'	1
shivers	2
prophesying	2
bona-roba	1
thymus	1
fordone	2
accident	23
coursing	2
overcame	10
glean	4
penetrate	5
tiring	4
[friar]	1
camomile	1
didest	1
ftp	4
freezings	1
basting	2
beneath	17
conjoin	1
conversations	1
grieved-	2
memoriz'd	1
wort'hily	1
them)	1
prentices	3
fang	14
back]	1
ape-bearer	1
deniest	3
prisonment	1
keiser	1
weather-bitten	1
over-credulous	1
gardener	8
gor'd	5
nutmeg	2
'to-morrow	1
paragons	1
repaying	1
salad	1
brine-pit	1
'marry	2
partialize	1
gibes	5
premises	3
ideas	1
huntsman	15
peopled	4
tooth-drawer	1
silk	19
bride-bed	2
speciously	2
portents	4
luccicos	1
mediation-	1
frown	45
says-	1
fancy-sick	1
baron	1
between-	1
'agrippa	1
kerely-bonto	1
unity	7
rainy	4
sweet	784
liquid	9
noble-ending	1
lush	1
trance	2
sword	335
particularly	2
sweeter	16
parcell'd	1
used	242
circa-	1
grains	3
sceptres	5
co-join	1
eye	414
majesty's	13
blush'd	6
striking	6
garish	2
bolder	6
couched	5
po-	1
unhappiness	2
round-womb'd	1
dar'st'thou	1
admiringly	2
pashed	1
simon	3
franklin	1
gentler	9
specialties	1
timandra	11
blood-	8
mean'st	12
sons'	4
anchises	2
minority	4
gargrave	7
embrac'd	10
wreaths	2
prolong	2
allowed	5
98	1
reference	5
villages	4
goldsmith's	1
frampold	1
cuckold-mad	1
'thane	1
sack	57
whipping-cheer	1
burs	4
pre-dominance	1
sanctimony	3
verdure	2
modestly	5
coil's	1
fils	1
stables	3
invectives	1
secretary	9
canstick	1
make't	3
full-hearted	1
clean-timber'd	1
hanging-	1
head-pieces	1
woodville	7
falliable	1
sleeve-hand	1
nevil's	1
howl'd	5
diadem	13
e	3
abridge	2
longboat's	1
happened-	1
imagin'd	8
conversion	2
straining	4
gutenberg/ibc"	1
is't-	1
invade	2
swarm	5
june-	1
suborn'd	7
altitude	3
wheaten	1
shipwrights	1
booted	1
broach	5
sully	3
-where	1
worm-holes	1
father's	232
hooded	2
afar]	1
deathsman	2
uds	1
opinions	13
procuring	1
grub	3
conjurer	6
murmur	3
shelves	2
'northumberland	1
unmoan'd	1
smell'st	1
mutter	4
conscience)	1
act_3|sc_4	1
beautiful	16
receiv'd	58
coactive	1
quoifs	1
severs	1
silvered	1
poem]	1
113	1
sovereign)	1
'budge	2
uncle-	1
